Group,Life Stage,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Pantothenic Acid,Biotin,Choline,Calcium,Chromium,Copper,Fluoride,Iodine,Iron,Magnesium,Manganese,Molybdenum,Phosphorus,Selenium,Zinc,Potassium,Sodium,Chloride,Total Water,Carbohydrate,Total Fiber,Fat,Linoleic Acid,α-Linolenic Acid,Protein
,units,(μg/d),(mg/d),(μg/d),(mg/d),(μg/d),(mg/d),(mg/d),(mg/d),(mg/d),(μg/d),(μg/d),(mg/d),(μg/d),(mg/d),(mg/d),(μg/d),(μg/d),(mg/d),(μg/d),(mg/d),(mg/d),(mg/d),(μg/d),(mg/d),(μg/d),(mg/d),(mg/d),(mg/d),(g/d),(L/d),(g/d),(g/d),(g/d),(g/d),(g/d),(g/d)
Infants, 0–6 mo,400,40,10,4,2.0,0.2,0.3,2,0.1,65,0.4,1.7,5,125,200,0.2,200,0.01,110,0.27,30,0.003,2,100,15,2,400,110,0.18,0.7,60,ND,31,4.4,0.5,9.1
Infants, 6–12 mo,500,50,10,5,2.5,0.3,0.4,4,0.3,80,0.5,1.8,6,150,260,5.5,220,0.5,130,11,75,0.6,3,275,20,3,860,370,0.57,0.8,95,ND,30,4.6,0.5,11
Children, 1–3 y,300,15,15,6,30,0.5,0.5,6,0.5,150,0.9,2,8,200,700,11,340,0.7,90,7,80,1.2,17,460,20,3,"2,000",800,1.5,1.3,130,19,NDc,7,0.7,13
Children, 4–8 y,400,25,15,7,55,0.6,0.6,8,0.6,200,1.2,3,12,250,"1,000",15,440,1,90,10,130,1.5,22,500,30,5,"2,300","1,000",1.9,1.7,130,25,ND,10,0.9,19
Males, 9–13 y,600,45,15,11,60,0.9,0.9,12,1,300,1.8,4,20,375,"1,300",25,700,2,120,8,240,1.9,34,"1,250",40,8,"2,500","1,200",2.3,2.4,130,31,ND,12,1.2,34
Males, 14–18 y,900,75,15,15,75,1.2,1.3,16,1.3,400,2.4,5,25,550,"1,300",35,890,3,150,11,410,2.2,43,"1,250",55,11,"3,000","1,500",2.3,3.3,130,38,ND,16,1.6,52
Males, 19–30 y,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,5,30,550,"1,000",35,900,4,150,8,400,2.3,45,700,55,11,"3,400","1,500",2.3,3.7,130,38,ND,17,1.6,56
Males, 31–50 y,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,5,30,550,"1,000",35,900,4,150,8,420,2.3,45,700,55,11,"3,400","1,500",2.3,3.7,130,38,ND,17,1.6,56
Males, 51–70 y,900,90,15,15,120,1.2,1.3,16,1.7,400,2.4h,5,30,550,"1,000",30,900,4,150,8,420,2.3,45,700,55,11,"3,400","1,500",2.0,3.7,130,30,ND,14,1.6,56
Males, > 70 y,900,90,20,15,120,1.2,1.3,16,1.7,400,2.4h,5,30,550,"1,200",30,900,4,150,8,420,2.3,45,700,55,11,"3,400","1,500",1.8,3.7,130,30,ND,14,1.6,56
Females, 9–13 y,600,45,15,11,60,0.9,0.9,12,1,300,1.8,4,20,375,"1,300",21,700,2,120,8,240,1.6,34,"1,250",40,8,"2,300","1,200",2.3,2.1,130,26,ND,10,1.0,34
Females, 14–18 y,700,65,15,15,75,1,1,14,1.2,400i,2.4,5,25,400,"1,300",24,890,3,150,15,360,1.6,43,"1,250",55,9,"2,300","1,500",2.3,2.3,130,26,ND,11,1.1,46
Females, 19–30 y,700,75,15,15,90,1.1,1.1,14,1.3,400i,2.4,5,30,425,"1,000",25,900,3,150,18,310,1.8,45,700,55,8,"2,600","1,500",2.3,2.7,130,25,ND,12,1.1,46
Females, 31–50 y,700,75,15,15,90,1.1,1.1,14,1.3,400i,2.4,5,30,425,"1,000",25,900,3,150,18,320,1.8,45,700,55,8,"2,600","1,500",2.3,2.7,130,25,ND,12,1.1,46
Females, 51–70 y,700,75,15,15,90,1.1,1.1,14,1.5,400,2.4h,5,30,425,"1,200",20,900,3,150,8,320,1.8,45,700,55,8,"2,600","1,500",2.0,2.7,130,21,ND,11,1.1,46
Females, > 70 y,700,75,20,15,90,1.1,1.1,14,1.5,400,2.4h,5,30,425,"1,200",20,900,3,150,8,320,1.8,45,700,55,8,"2,600","1,500",1.8,2.7,130,21,ND,11,1.1,46
Pregnancy, 14–18 y,750,80,15,15,75,1.4,1.4,18,1.9,600j,2.6,6,30,450,"1,300",29,"1,000",3,220,27,400,2.0,50,"1,250",60,12,"2,600","1,500",2.3,3.0,175,28,ND,13,1.4,71
Pregnancy, 19–30 y,770,85,15,15,90,1.4,1.4,18,1.9,600j,2.6,6,30,450,"1,000",30,"1,000",3,220,27,350,2.0,50,700,60,11,"2,900","1,500",2.3,3.0,175,28,ND,13,1.4,71
Pregnancy, 31–50 y,770,85,15,15,90,1.4,1.4,18,1.9,600j,2.6,6,30,450,"1,000",30,"1,000",3,220,27,360,2.0,50,700,60,11,"2,900","1,500",2.3,3.0,175,28,ND,13,1.4,71
